qin,cin
0.01478184,0
0.118465507,0
0.205568572,24.18712602
0.283938046,24.22736534
0.349595167,24.25263774
0.407374871,24.26743927
0.46126988,24.27980083
0.513125725,24.29300834
0.56406731,24.30661507
0.850707798,24.33979766
1.374451494,24.36174108
1.892863597,24.37130312
2.355556905,24.37699591
2.762250125,24.38147133
3.097868068,24.38524084
3.375342519,24.38826749
3.58911634,24.39070859
3.799454126,24.39266337
3.99759072,24.39421768
4.184303226,24.39544926
4.362202655,24.39642806
4.53328322,24.39720431
4.699548306,24.39781518
4.86202661,24.39829651
5.02170469,24.3986753
5.179257617,24.39897137
5.335353024,24.39920368
5.490279803,24.39938054
5.644694661,24.39938516
5.798807982,24.39881492
5.952862328,24.39714013
6.106927469,24.39385911
6.30670507,24.38864485
6.67452739,24.38149389
7.17514223,24.37233779
7.769774258,24.36127779
8.417239971,24.347552
8.88445524,24.33047484
9.15677516,24.31439201
9.773672902,24.29974027
10.53827155,24.28534366
11.43957091,24.27182001
12.66984627,24.2618027
14.33062534,24.25546708
16.60962941,24.25647728
19.86249937,24.26597588
41.67888143,24.3295463
162.8795514,24.38241693
52.8001819,24.36116812
38.2434962,20.2983526
32.7755209,21.23391207
29.908072,21.622099
27.65416464,21.83273604
25.85293693,21.91788177
24.27293223,21.96502407
22.91181723,21.98305104
21.7517613,21.37115822
20.86859162,21.33012722
20.14646683,21.26962983
19.53062188,21.20920564
18.99208074,21.15148268
18.50950568,21.09165034
18.07179826,21.02582888
17.3958997,20.89774746
16.43117206,20.66400998
15.28616347,20.27876167
13.98185271,19.72505268
13.287767,19.26143559
12.89335403,18.85983013
12.56396341,18.46286874
12.2560458,18.06722503
11.95413909,17.67637651
11.65252969,17.2931964
11.35018444,16.9186873
11.04633918,16.55344405
10.73902009,16.19746277
10.42815407,15.85018146
10.11417632,15.51048536
9.794667903,15.10719648
9.4719301,14.7342315
9.15524475,14.40538745
8.868943792,14.09118198
8.604046102,13.79105642
8.352093342,13.50649924
8.109769572,13.23837823
7.876044978,12.98712078
7.65029517,12.75330464
7.43126121,12.53742151
7.21900101,12.33961142
7.014361554,12.15984779
6.819168181,11.99738764
6.632317784,11.85183508
6.453972815,11.72228752
6.28475999,11.6082105
6.124480734,11.50905708
5.971934626,11.42398329
5.315545341,11.20252154
4.630873449,10.77707976
4.09828495,10.30036998
3.34154761,10.03025362
2.891053991,9.594237424
2.560886637,9.174409765
2.313560415,8.752910632
2.125030389,8.341480841
1.976634691,7.934860695
1.856620338,7.537311652
1.757267807,7.155024445
1.649685735,6.798456689
1.57863383,6.444726057
1.51447961,6.111422415
1.45544587,5.799454605
1.40011245,5.507808079
1.347474788,5.23586428
1.296907473,4.983669595
1.247958594,4.750749323
1.200331874,4.535067707
1.15382626,4.336612185
1.108297844,4.153008199
1.063672343,3.983971188
1.019850064,3.827967304
0.977647281,3.684318968
0.936732378,3.55169751
0.896213126,3.430323768
0.856179759,3.319247206
0.8167408,3.217856671
0.777952713,3.125494983
0.739916455,3.042194572
0.702868827,2.96726757
0.667642748,2.899467096
0.635507397,2.83717774
0.606785661,2.779051909
0.581211246,2.72438177
0.558338089,2.672883527
0.537752254,2.624746349
0.519111621,2.579965609
0.502089396,2.537171969
0.486447004,2.49616571
0.471988017,2.456957517
0.458552688,2.419322491
0.446021714,2.383152908
0.434279968,2.34835901
0.423234212,2.314772018
0.412810655,2.282343042
0.402947807,2.250989422
0.393594556,2.220605225
0.384706296,2.191111485
0.376244656,2.161749332
0.36817669,2.133211532
0.360474723,2.105766253
0.353115551,2.079125596
0.346080644,2.052909705
0.339355514,2.026796633
0.332919414,2.001149648
0.326757061,1.975439638
0.320855897,1.949958071
0.315204954,1.924737992
0.309793561,1.899480662
0.304611469,1.87441056
0.299649364,1.849102742
0.294899192,1.823503925
0.290352659,1.797962971
0.286001241,1.774424751
0.281837203,1.751567009
0.277853549,1.728854679
0.274044786,1.705489915
0.270405862,1.68203358
0.266932358,1.658414016
0.263620314,1.633437432
0.260466086,1.608254475
0.257466547,1.582707916
0.25461915,1.556057685
0.251921365,1.529016685
0.24937202,1.501517489
0.246958612,1.471922996
0.244682591,1.441814244
0.242547432,1.411126498
0.240553251,1.37888101
0.238695868,1.345657169
0.236962526,1.311769954
0.23533688,1.276747284
0.233803194,1.239769813
0.232347399,1.202218915
0.230957516,1.164105271
0.229623562,1.124589072
0.228337004,1.08384948
0.227090642,1.042806238
0.225878389,1.001508678
0.224695155,0.959424544
0.223536581,0.916543391
0.222398981,0.873811782
0.221279148,0.831282402
0.220174695,0.787969014
0.219083457,0.742685832
0.218003559,0.697401987
0.216933386,0.653374035
0.215871586,0.610889602
0.214817028,0.570102078
0.213768709,0.531139774
0.212725835,0.493771277
0.211687682,0.458180036
0.210653685,0.424844674
0.209623309,0.393760259
0.208595953,0.364903986
0.207571381,0.33823319
0.206549288,0.313687751
0.205529413,0.291192723
0.204511523,0.2706607
0.203495407,0.251871223
0.202480895,0.234795901
0.201467848,0.219449603
0.200456129,0.205699977
0.199445629,0.193416451
0.198436249,0.182471673
0.197427888,0.172742998
0.196420498,0.164113103
0.195413998,0.156471184
0.194408358,0.149713174
0.193403514,0.143742312
0.19239945,0.138469323
0.191396062,0.133812322
0.190393323,0.129696801
0.189391206,0.126041228
0.188389684,0.122796626
0.187388732,0.119922183
0.186388339,0.117366143
0.185388481,0.11508341
0.184389359,0.113034735
0.183392034,0.111185658
0.182395604,0.109507596
0.181399577,0.107975934
0.180403736,0.10656957
0.179408132,0.105270377
0.178412715,0.104063105
0.177417545,0.102934779
0.176422602,0.101874508
0.175427924,0.100873096
0.174433503,0.099922918
0.173439355,0.0990176
0.172445505,0.098151803
0.171452636,0.097320816
0.17046059,0.096520788
0.169468916,0.095749035
0.168477427,0.0950031
0.167486094,0.094280808
0.16649492,0.093580401
0.165503936,0.092900344
0.164513132,0.092239404
0.163522526,0.091596494
0.162532141,0.090970673
0.16154199,0.090361222
0.160552069,0.089767482
0.159562387,0.089188884
0.158572956,0.088624803
0.157583775,0.088074898
0.156594852,0.087538819
0.155606184,0.087016051
0.154617784,0.086506379
0.153629649,0.086009506
0.152641774,0.08552513
0.151654172,0.085052967
0.150666845,0.084592817
0.149679774,0.08414452
0.148692988,0.083707709
0.147706449,0.083282417
0.146720198,0.082868253
0.145734219,0.082465171
0.144748539,0.082072927
0.143763141,0.08169141
0.14277799,0.081320399
0.141793123,0.080959928
0.140808505,0.080609623
0.139824154,0.08026963
0.138840079,0.079939564
0.137856262,0.079619583
0.136872713,0.079309443
0.135889442,0.079008856
0.134906434,0.078717887
0.133923702,0.07843643
0.132941349,0.078164319
0.131960609,0.077900793
0.13098078,0.077646127
0.130001234,0.077400648
0.129021793,0.077164396
0.128042412,0.076937311
0.127063095,0.076719382
0.126083867,0.076510542
0.125104743,0.076310622
0.12412576,0.076119797